Provincia,Localidad,Municipio,Departamento,Latitud,Longitud
Buenos Aires,GENERAL O'BRIEN,Bragado,Bragado,-34.9067979091956,-60.7597838238054
Buenos Aires,IRALA,Bragado,Bragado,-34.7718230311122,-60.6916912010278
Buenos Aires,LA LIMPIA,Bragado,Bragado,-35.0797272650156,-60.5928546665185
Buenos Aires,MAXIMO FERNANDEZ,Bragado,Bragado,-35.0615246745825,-60.7060741424473
Buenos Aires,MECHITA,Bragado,Bragado,-35.0699378566803,-60.4084937925362
Buenos Aires,OLASCOAGA,Bragado,Bragado,-35.2375277927366,-60.6115341696178
Buenos Aires,WARNES,Bragado,Bragado,-34.9098734445057,-60.5381681629003
Buenos Aires,ALTAMIRANO,Brandsen,Brandsen,-35.3615828022139,-58.1504868159157
Buenos Aires,BARRIO EL MIRADOR,Brandsen,Brandsen,-35.3145370547125,-58.0484420796345
Buenos Aires,BARRIO LAS GOLONDRINAS,Brandsen,Brandsen,-35.0335777783556,-58.1935382681817
Buenos Aires,BARRIO LOS BOSQUECITOS,Brandsen,Brandsen,-35.1050389949725,-58.1835007859607
Buenos Aires,BARRIO PARQUE LAS ACACIAS,Brandsen,Brandsen,-35.1030329461442,-58.2730405375653
Buenos Aires,CAMPOS DE ROCA,Brandsen,Brandsen,-35.1149772603157,-58.0953896541907
Buenos Aires,CORONEL BRANDSEN,Brandsen,Brandsen,-35.1690983002919,-58.2373529446643
Buenos Aires,CLUB DE CAMPO LAS MALVINAS,Brandsen,Brandsen,-35.2139978115731,-58.2433030920635
Buenos Aires,GOMEZ,Brandsen,Brandsen,-35.0693655332834,-58.1656899882306
Buenos Aires,JEPPENER,Brandsen,Brandsen,-35.2802043920968,-58.1996649431989
Buenos Aires,OLIDEN,Brandsen,Brandsen,-35.1842584334678,-57.9479623248001
Buenos Aires,POSADA DE LOS LAGOS,Brandsen,Brandsen,-35.1499383981993,-58.0504528667351
Buenos Aires,SAMBOROMBON,Brandsen,Brandsen,-35.2206242719966,-58.2805297949826
Buenos Aires,ALTO LOS CARDALES,Campana,Campana,-34.3160243688815,-58.9784574815339
Buenos Aires,BARRIO LOS PIONEROS,Campana,Campana,-34.2530406367633,-58.9584400368589
Buenos Aires,CAMPANA,Campana,Campana,-34.1639618118269,-58.9588741035355
Buenos Aires,CHACRAS DEL RIO LUJAN,Campana,Campana,-34.2934153226239,-58.921199044246
Buenos Aires,LOMAS DEL RIO LUJAN,Campana,Campana,-34.2816770641806,-58.8911906524052
Buenos Aires,ALEJANDRO PETION,Cañuelas,Cañuelas,-34.9793768508134,-58.6749430768989
Buenos Aires,BARRIO EL TALADRO,Cañuelas,Cañuelas,-35.0742486164225,-58.8632420603475
Buenos Aires,CA¥UELAS,Cañuelas,Cañuelas,-35.0527140350539,-58.7583856965375
Buenos Aires,GOBERNADOR UDAONDO,Cañuelas,Cañuelas,-35.3003271130454,-58.5943053657455
Buenos Aires,BARRIO BELGRANO,Cañuelas,Cañuelas,-34.9022941561353,-58.6479010170021
Buenos Aires,MAXIMO PAZ,Cañuelas,Cañuelas,-34.9364563092157,-58.6143957995956
Buenos Aires,SANTA ROSA,Cañuelas,Cañuelas,-34.9611839371811,-58.7308918275978
Buenos Aires,URIBELARREA,Cañuelas,Cañuelas,-35.1227364407356,-58.8904871463421
Buenos Aires,VICENTE CASARES,Cañuelas,Cañuelas,-34.9653526702416,-58.6504979594296
Buenos Aires,CAPITAN SARMIENTO,Capitán Sarmiento,Capitán Sarmiento,-34.1723674255219,-59.789349139091
Buenos Aires,LA LUISA,Capitán Sarmiento,Capitán Sarmiento,-34.1285572110784,-59.9240058312679
Buenos Aires,BELLOCQ,Carlos Casares,Carlos Casares,-35.9189705554631,-61.5312630222769
Buenos Aires,CADRET,Carlos Casares,Carlos Casares,-35.7727531397053,-61.3353879836968
Buenos Aires,CARLOS CASARES,Carlos Casares,Carlos Casares,-35.623543502046,-61.3653159121918
Buenos Aires,COLONIA MAURICIO,Carlos Casares,Carlos Casares,-35.5249595511909,-61.4378670824782
Buenos Aires,HORTENSIA,Carlos Casares,Carlos Casares,-35.9277092575349,-61.262290153739
Buenos Aires,LA SOFIA,Carlos Casares,Carlos Casares,-35.7003907357414,-61.1702865161871
Buenos Aires,MAURICIO HIRSCH,Carlos Casares,Carlos Casares,-35.583017649873,-61.5244457086778
Buenos Aires,MOCTEZUMA,Carlos Casares,Carlos Casares,-35.4774725641963,-61.4930734927677
Buenos Aires,ORDOQUI,Carlos Casares,Carlos Casares,-35.8831262095535,-61.1594280439031
Buenos Aires,SANTO TOMAS,Carlos Casares,Carlos Casares,-35.6740915009624,-61.5066664301675
Buenos Aires,SMITH,Carlos Casares,Carlos Casares,-35.4946290260766,-61.5937811081594
Buenos Aires,CARLOS TEJEDOR,Carlos Tejedor,Carlos Tejedor,-35.3925733302196,-62.4193023144118
Buenos Aires,COLONIA SERE,Carlos Tejedor,Carlos Tejedor,-35.4388157700903,-62.7252382146864
Buenos Aires,CURARU,Carlos Tejedor,Carlos Tejedor,-35.6403503028113,-62.1924372294866
Buenos Aires,TIMOTE,Carlos Tejedor,Carlos Tejedor,-35.3477615165229,-62.2246532791856
Buenos Aires,TRES ALGARROBOS,Carlos Tejedor,Carlos Tejedor,-35.1979815144911,-62.7730814064669
Buenos Aires,CARMEN DE ARECO,Carmen de Areco,Carmen de Areco,-34.3776987251735,-59.8229019801033
Buenos Aires,PUEBLO GOUIN,Carmen de Areco,Carmen de Areco,-34.4951191416005,-59.8029737383366
Buenos Aires,TRES SARGENTOS,Carmen de Areco,Carmen de Areco,-34.4664778301466,-60.0008697422009
Buenos Aires,CASTELLI,Castelli,Castelli,-36.091694119436,-57.8071801619355
Buenos Aires,CENTRO GUERRERO,Castelli,Castelli,-36.0570621940227,-57.8235422591576
Buenos Aires,CERRO DE LA GLORIA (CANAL 15),Castelli,Castelli,-35.9760530599951,-57.4487354447874
